,champs,wins,dates
321, Bard ,game-summary-defeat,7/14/2018
322, Bard ,game-summary-victory,7/14/2018
323, Bard ,game-summary-victory,7/14/2018
324, Bard ,game-summary-victory,7/14/2018
325, Bard ,game-summary-victory,7/14/2018
326, Tahm Kench ,game-summary-defeat,7/14/2018
327, Tahm Kench ,game-summary-defeat,7/14/2018
328, Lulu ,game-summary-victory,7/13/2018
329, Tahm Kench ,game-summary-victory,7/13/2018
330, Tahm Kench ,game-summary-victory,7/11/2018
331, Tahm Kench ,game-summary-defeat,7/11/2018
332, Tahm Kench ,game-summary-victory,7/10/2018
333, Tahm Kench ,game-summary-victory,7/8/2018
334, Tahm Kench ,game-summary-victory,7/8/2018
335, Bard ,game-summary-defeat,7/8/2018
336, Bard ,game-summary-defeat,7/8/2018
337, Bard ,game-summary-victory,7/8/2018
338, Bard ,game-summary-victory,7/8/2018
339, Tahm Kench ,game-summary-defeat,7/8/2018
340, Tahm Kench ,game-summary-victory,7/8/2018
341, Tahm Kench ,game-summary-defeat,7/7/2018
342, Tahm Kench ,game-summary-defeat,7/7/2018
343, Tahm Kench ,game-summary-defeat,7/5/2018
344, Tahm Kench ,game-summary-victory,7/5/2018
345, Tahm Kench ,game-summary-victory,7/5/2018
346, Tahm Kench ,game-summary-defeat,7/5/2018
347, Tahm Kench ,game-summary-victory,7/5/2018
348, Nami ,game-summary-defeat,7/5/2018
349, Tahm Kench ,game-summary-victory,7/5/2018
350, Tahm Kench ,game-summary-defeat,7/4/2018
351, Tahm Kench ,game-summary-victory,7/4/2018
352, Tahm Kench ,game-summary-defeat,7/3/2018
353, Tahm Kench ,game-summary-victory,7/3/2018
354, Tahm Kench ,game-summary-defeat,7/3/2018
355, Tahm Kench ,game-summary-defeat,7/2/2018
356, Tahm Kench ,game-summary-defeat,7/1/2018
357, Tahm Kench ,game-summary-victory,7/1/2018
358, Tahm Kench ,game-summary-defeat,7/1/2018
359, Tahm Kench ,game-summary-defeat,7/1/2018
360, Tahm Kench ,game-summary-defeat,7/1/2018
361, Tahm Kench ,game-summary-defeat,7/1/2018
362, Tahm Kench ,game-summary-defeat,7/1/2018
363, Tahm Kench ,game-summary-earlysurrender,7/1/2018
364, Tahm Kench ,game-summary-victory,6/30/2018
365, Tahm Kench ,game-summary-victory,6/30/2018
